,Investor,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,Lori Greiner,The Beebo,Signal Vault,O Dang Hummus,Table 87 Pizza,X-Craft,Windcatcher,Stem Center,Simply Fit Board,Grip Clean,Umano,Brazi Bites,Sarah Oliver Handbags,Trunkster,Fire Avert,Controlled Chaos,Beard King,Combat Flip Flops,Insta Fire,Better Back,Vengo,Wondercide,PrideBites,Coolbox
1,Mark Cuban,Loliware,Foot Cardigan,Dude Wipes,X-Craft,Rent Like A Champion,Polar Pro,UnShrinkIt,Umano,Trunkster,Extreme Sandbox ,Fixed,2400 Expert,R Riveter,Combat Flip Flops,Bee Free Honee,Nohbo,Swork It,Insta Fire,Beer Blizzard,,,,
2,Daymond John,Two Guys Bowtie,Three Jerks Jerky,X-Craft,SockTabs,ABS Protein Pancakes,SheFit,Combat Flip Flops,Innovation Pet,,,,,,,,,,,,,,,
3,Robert Herjavec,Signal Vault,O Dang Hummus,X-Craft,Polar Pro,Glow Recipe,Sarah Oliver Handbags,Hungry Harvest,Rags to Raches,PrideBites,Trobo,,,,,,,,,,,,,
4,Barbara Corcoran,Loliware,X-Craft,Saavy Natural,PiperWai,Bee Free Honee,Glace Cyrotherapy,,,,,,,,,,,,,,,,,
5,Kevin O’ Leary,Extreme Sandbox ,PRX Performance,Illumi Bowl,Vengo,,,,,,,,,,,,,,,,,,,
6,Chris Sacca,Rent Like A Champion,Hatch Baby,Bee Free Honee,,,,,,,,,,,,,,,,,,,,
7, Mark Cuban,X-Craft,Polar Pro,Umano,Trunkster,Combat Flip Flops,Bee Free Honee,,,,,,,,,,,,,,,,,
8, Lori Greiner,Signal Vault,O Dang Hummus,X-Craft,Combat Flip Flops,Insta Fire,,,,,,,,,,,,,,,,,,
9,Troy Carter,Foot Cardigan,Two Guys Bowtie,,,,,,,,,,,,,,,,,,,,,
10, Robert Herjavec,X-Craft,Sarah Oliver Handbags,PrideBites,,,,,,,,,,,,,,,,,,,,
11,Ashton Kutcher,The Beebo,,,,,,,,,,,,,,,,,,,,,,
12, Barbara Corcoran,Loliware,X-Craft,,,,,,,,,,,,,,,,,,,,,
